UID,ApplicationDate,Amount,Term,EmploymentType,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_TimeSinceMostRecentDefault,ALL_WorstPaymentStatusActiveAccounts
251266,02/01/2020,8000,48,Employed - full time,for personal needs,0,320,2,26,14,1,0,3,12,90.81,31161,31161,-1,0
252583,02/01/2020,10000,24,Self employed,Towards house deposit,0,146,1,6,6,0,0,4,0,30.5,1193,1193,-1,0
253964,02/01/2020,5200,60,Employed - full time,vet bill,0,232,6,19,15,0,0,2,4,71.89,18041,18041,-1,0
255595,02/01/2020,2000,60,Employed - full time,Home improvement and pay a loan off,0,154,0,18,13,1,9,3,5,53.5,5053,5053,-1,7
257007,02/01/2020,6500,48,Employed - full time,new cooker,1,82,9,10,6,0,0,1,4,39.1,1778,1778,-1,0
257370,02/01/2020,1000,12,Employed - full time,Moped,0,91,4,4,2,0,1,1,2,47.75,670,670,-1,7
258900,02/01/2020,2000,24,Employed - part time,home improvemement,0,181,1,13,9,0,0,2,4,64.0,10275,10275,-1,0
260381,02/01/2020,2500,60,Employed - full time,Ecencencal,0,159,6,13,9,2,3,5,4,48.0,11854,11854,-1,7
266667,02/01/2020,5000,60,Employed - full time,Debet,0,61,1,24,8,3,5,5,16,33.46,4487,4487,-1,7
267345,02/01/2020,5000,48,Employed - full time,Debt consolidation,0,173,13,33,13,1,3,0,20,43.52,6814,6814,-1,7
269187,02/01/2020,9000,48,Self employed,Car,0,153,2,19,12,2,0,2,7,55.79,157525,9583,-1,0
269512,02/01/2020,10500,60,Employed - full time,Change home,0,232,15,13,7,0,0,0,6,73.0,8270,8270,-1,0
269829,02/01/2020,6500,48,Employed - full time,Shopping,0,56,3,8,7,1,0,3,1,25.12,596,596,-1,0
271091,02/01/2020,6000,36,Employed - full time,Consolidating,0,178,2,33,15,4,0,7,18,60.12,89838,23243,-1,0
272337,02/01/2020,8000,48,Employed - full time,Car,0,76,3,98,12,22,1,21,86,18.27,6266,6266,-1,7
272581,03/01/2020,12500,60,Employed - full time,Pay off out outstanding car finance,0,262,7,22,12,0,0,3,10,71.5,43581,43581,-1,0
272936,03/01/2020,2000,18,Employed - full time,home electrical items,0,124,4,19,13,2,10,3,6,55.63,6908,6908,-1,7
273061,03/01/2020,7000,60,Employed - full time,Balance transfer and new baby,0,238,1,18,15,0,0,3,3,71.83,91175,13299,-1,6
276261,03/01/2020,4000,36,Employed - full time,various things,0,97,2,38,25,8,1,10,13,37.39,14826,14826,-1,0
277122,03/01/2020,6000,36,Employed - full time,Moving hause,0,118,1,22,13,3,1,6,9,32.05,6629,6629,-1,0
277251,03/01/2020,6500,48,Employed - full time,family commitment,0,87,5,31,9,2,2,4,22,38.19,5299,5299,-1,7
278709,03/01/2020,5000,36,Employed - full time,vet bill and new bed,0,94,4,13,9,0,5,3,4,53.38,1898,1898,-1,7
278839,03/01/2020,6500,48,Employed - full time,household purchase,0,225,3,12,5,1,0,2,7,64.25,152529,6921,-1,0
279051,03/01/2020,6500,48,Employed - full time,Household items,0,194,3,27,15,1,2,5,12,56.52,60289,60289,-1,0
281296,03/01/2020,10000,60,Self employed,pay account,0,176,1,14,8,1,1,2,6,46.86,33630,33630,-1,7
281680,03/01/2020,500,12,Employed - full time,one time payment,0,95,3,33,13,6,10,7,20,37.33,11400,11400,-1,7
281845,03/01/2020,15000,54,Employed - full time,New car,0,233,1,25,10,3,0,4,15,74.6,69025,16943,-1,0
283142,03/01/2020,15000,30,Employed - full time,boat engine,0,181,2,23,14,0,9,4,9,89.83,6109,6109,-1,7
284189,03/01/2020,14000,48,Employed - full time,Other,0,246,6,25,16,1,0,1,9,49.28,33651,33651,-1,0
284406,03/01/2020,1500,24,Employed - full time,Make up course,0,80,1,10,9,0,5,1,1,40.4,1933,1933,-1,7
284971,03/01/2020,8000,60,Employed - full time,Vet and school trip,0,268,3,41,19,3,0,4,22,88.59,148942,50953,-1,0
286296,03/01/2020,1500,18,Employed - full time,boiler,0,87,2,21,17,0,4,5,4,31.1,5959,5959,-1,7
287342,03/01/2020,2000,36,Employed - full time,Short term cash,0,151,12,15,6,0,6,0,9,62.8,5875,5875,-1,7
287863,03/01/2020,12000,60,Self employed,Unexpected expense,0,454,8,29,16,3,4,1,13,125.14,206563,22103,-1,7
289958,03/01/2020,500,12,Employed - full time,Furniture,0,70,2,13,7,2,3,3,6,41.69,4009,4009,-1,7
290091,03/01/2020,10500,60,Employed - full time,Credit card consolidation,0,267,1,31,14,2,0,2,17,86.42,47621,11929,-1,0
290740,03/01/2020,1000,12,Employed - full time,Course fee,0,203,2,10,7,2,1,7,3,29.5,2767,2767,-1,0
290922,03/01/2020,5000,48,Employed - full time,furniture,0,92,1,21,15,3,2,5,6,35.62,20262,20262,-1,7
291728,03/01/2020,10000,60,Employed - full time,Ester,0,390,14,9,7,0,1,0,2,177.22,22839,14312,-1,7
291965,03/01/2020,15000,60,Employed - full time,New washing machine,0,67,1,21,15,1,0,8,6,29.1,15923,15923,-1,0
292069,03/01/2020,13000,60,Employed - full time,Consolidation,0,191,2,14,6,3,0,6,8,58.79,8831,8831,-1,0
292097,03/01/2020,6000,24,Employed - full time,furniture,0,126,1,19,17,2,2,5,2,37.79,6893,6893,-1,7
292125,03/01/2020,10000,48,Self employed,Furniture,0,99,5,48,9,1,0,2,39,34.31,19313,19313,-1,0
293318,03/01/2020,10000,24,Self employed,Paying family / friends,1,39,4,8,8,0,0,2,0,22.5,1403,1403,-1,0
294786,03/01/2020,12000,48,Employed - full time,car,0,279,29,7,7,0,0,0,0,84.86,6918,6918,-1,2
294870,03/01/2020,6500,48,Employed - full time,Other,0,151,23,13,7,0,4,0,6,88.85,19735,3977,-1,7
295556,03/01/2020,12000,60,Employed - full time,childcare deposit,0,217,1,18,10,1,0,2,8,86.17,117555,42516,-1,0
297260,03/01/2020,500,12,Employed - full time,School trip and redecorating,0,90,7,14,12,1,9,3,2,47.64,4560,4560,-1,7
298571,03/01/2020,1000,12,Employed - full time,Consolidating debt,0,159,4,37,9,2,7,2,28,60.54,2133,2133,-1,7
298582,03/01/2020,6500,48,Self employed,Credit building,1,138,11,7,6,1,0,1,1,50.71,2425,2425,-1,0
298870,03/01/2020,5000,60,Employed - full time,Consolidation,0,124,14,6,5,0,0,0,1,54.33,113126,13126,-1,2
298988,03/01/2020,10000,48,Employed - full time,Improvements,0,166,2,29,20,4,0,6,9,36.79,17933,17933,-1,0
299358,03/01/2020,5000,36,Self employed,Car insurance,0,147,2,9,6,0,0,2,3,47.44,3440,3440,-1,0
299379,03/01/2020,5000,36,Employed - full time,other,0,112,6,10,6,1,3,3,4,43.4,3281,3281,-1,7
300810,03/01/2020,1000,12,Self employed,Maintenance,0,154,18,23,5,5,6,0,18,48.68,13130,13130,-1,7
300934,03/01/2020,10000,24,Employed - full time,Other,0,362,1,59,32,9,0,17,27,52.27,51619,47885,-1,1
301859,03/01/2020,2000,18,Employed - full time,Debt consolidation,0,150,18,52,13,4,11,0,39,40.35,5722,5722,-1,7
304292,03/01/2020,16000,36,Employed - full time,Car,0,339,58,15,6,0,0,0,9,125.27,124451,0,-1,0
304600,03/01/2020,1000,24,Employed - full time,Vet's bills,0,150,1,19,11,1,1,7,8,50.11,2610,2610,-1,0
305568,03/01/2020,1000,24,Employed - full time,Home improvement,0,299,2,22,9,0,6,3,13,107.05,2514,2514,-1,0
305623,03/01/2020,7000,54,Self employed,Holiday,0,243,2,13,10,3,0,4,3,40.77,24021,24021,-1,0
307714,03/01/2020,2000,24,Employed - full time,"car, consolidation",0,137,1,71,8,6,4,5,63,48.46,669,669,-1,7
308925,03/01/2020,1000,12,Employed - full time,other,0,248,1,28,11,5,3,9,17,39.39,9474,9474,-1,7
311269,03/01/2020,3000,48,Employed - full time,Kitchen appliances for new home,0,74,1,20,15,4,0,13,5,15.95,14898,14898,-1,0
311277,03/01/2020,8000,36,Employed - full time,Car,0,169,2,8,8,0,0,5,0,29.88,22256,22256,-1,0
312130,03/01/2020,10000,60,Employed - full time,Debt consolidation,0,183,8,18,6,1,0,1,12,58.5,3749,3749,-1,0
313292,04/01/2020,3000,60,Employed - full time,cosmetiic surgery,0,74,4,4,4,0,0,1,0,31.0,5384,5384,-1,0
315470,04/01/2020,14000,36,Employed - full time,vet bills,0,223,7,14,8,3,0,2,6,66.36,251272,14077,-1,0
315580,04/01/2020,20000,24,Self employed,home improvements,0,175,24,18,13,0,0,0,5,64.44,382587,13698,-1,0
316843,04/01/2020,3000,48,Employed - full time,Furniture,0,256,13,11,8,0,0,0,3,81.27,84418,30092,-1,0
318629,04/01/2020,4000,36,Employed - full time,Store and credit card bills,0,116,1,23,19,1,9,3,4,51.05,12370,12370,-1,7
320883,04/01/2020,6500,48,Employed - full time,Engagement Ring,1,357,10,15,10,0,0,1,5,119.07,163147,9302,-1,0
321319,04/01/2020,6500,48,Self employed,Engine,0,64,2,27,12,13,0,16,15,16.93,29264,29264,-1,0
321981,04/01/2020,20000,60,Employed - full time,Family expediture,0,389,6,22,11,3,0,4,11,73.27,420957,73420,-1,0
322359,04/01/2020,1000,30,Employed - full time,Car,0,86,4,87,17,9,4,9,70,20.03,5737,5737,-1,7
322784,04/01/2020,8000,48,Employed - full time,Car and holiday,0,198,4,24,14,0,0,2,10,55.5,33435,33435,-1,0
323629,04/01/2020,6500,48,Employed - full time,Furniture,0,274,4,29,9,4,8,1,20,72.48,13366,13366,-1,7
324011,04/01/2020,1000,12,Employed - full time,Car,0,149,1,17,13,1,0,5,4,36.65,5023,5023,-1,0
330569,04/01/2020,1000,24,Employed - full time,Tools,0,124,4,26,16,3,0,4,10,41.27,162444,58852,-1,0
331353,04/01/2020,10000,60,Employed - full time,Other,0,197,7,20,6,7,3,3,14,53.15,5573,5573,-1,0
332011,04/01/2020,15000,60,Employed - full time,emergency expenses,0,104,3,14,9,1,0,5,5,46.79,29515,29515,-1,0
332799,04/01/2020,6500,48,Employed - part time,House hold items,0,171,8,9,7,0,1,1,2,43.56,6425,6425,-1,7
335198,04/01/2020,6500,48,Employed - full time,house hold goods,0,86,4,36,19,7,4,10,17,36.64,24842,24842,-1,7
335537,04/01/2020,7500,30,Employed - full time,Electrial item,0,154,1,24,12,5,0,5,12,37.88,3364,3364,-1,0
337369,04/01/2020,2000,12,Employed - full time,Clear loan,0,152,0,36,18,4,7,6,18,59.03,10100,10100,-1,7
337486,04/01/2020,5000,60,Employed - full time,home inprovements,0,64,3,11,4,4,0,3,7,25.36,9522,9522,-1,0
339122,04/01/2020,6500,48,Employed - full time,other,0,148,2,8,3,1,0,1,5,57.88,6435,6435,-1,0
339634,04/01/2020,10000,48,Employed - full time,Moving house,1,149,2,35,13,3,0,6,22,58.0,106732,2290,-1,0
339880,04/01/2020,6500,48,Employed - full time,To pay a bill,0,161,14,14,8,0,1,0,6,64.57,6521,6521,-1,0
340797,04/01/2020,6500,48,Employed - full time,Baby room decoration,0,302,1,91,10,11,2,12,81,41.33,165173,7672,-1,7
341992,04/01/2020,5000,60,Employed - full time,Car,0,113,3,5,4,1,0,1,1,56.4,0,0,-1,0
343144,04/01/2020,5000,60,Employed - full time,Vet bill,1,167,19,20,9,2,0,0,11,73.95,181782,19698,-1,0
343519,04/01/2020,20000,60,Employed - full time,home improvement,0,204,1,16,9,1,1,3,7,71.56,184318,14185,-1,0
345888,05/01/2020,1000,12,Self employed,car,0,133,31,15,11,0,12,0,4,66.93,6156,6156,-1,7
346260,05/01/2020,2000,36,Retired,debt consolidation,0,141,4,29,15,3,0,5,14,40.55,15312,15312,-1,0
347257,05/01/2020,14000,54,Employed - part time,Consolidation,0,138,1,25,13,4,0,4,12,48.44,19433,19433,-1,0
348158,05/01/2020,6500,48,Employed - full time,Vet's bills,0,267,3,10,5,2,0,2,5,68.9,6777,6777,-1,0
348219,05/01/2020,10000,60,Employed - full time,debt management,0,99,2,12,11,1,0,7,1,21.25,7659,7659,-1,0
349311,05/01/2020,12000,60,Employed - part time,Buy a Van,0,280,2,17,12,1,0,2,5,90.24,17003,17003,-1,0
349771,05/01/2020,1000,12,Employed - full time,Holidays,0,115,1,10,8,0,2,2,2,30.4,5551,5551,-1,7
350662,05/01/2020,3000,36,Employed - full time,vets bills,0,242,2,36,9,0,5,3,27,57.36,19000,19000,-1,7
351012,05/01/2020,10000,60,Self employed,Emergency circumstance,0,53,23,12,9,0,0,0,3,40.08,6236,6236,-1,0
351421,05/01/2020,4000,48,Employed - full time,Debt consolidation,0,53,5,3,3,0,1,1,0,23.67,649,649,-1,7
353239,05/01/2020,5000,36,Employed - full time,billz,0,259,1,20,18,1,3,8,2,59.8,80507,10428,-1,7
356157,05/01/2020,500,12,Employed - part time,Daughters birthday,0,98,3,10,5,4,1,4,5,23.9,1371,1371,-1,0
358276,05/01/2020,1500,24,Employed - full time,Car Loan,0,59,4,16,7,3,0,4,9,27.44,2595,2595,-1,0
358612,05/01/2020,10000,60,Employed - full time,debt consolidation,0,266,6,17,8,2,0,2,9,69.88,167751,15263,-1,0
359354,05/01/2020,17100,60,Self employed,Debt consolidation,0,148,9,21,10,3,2,1,11,57.67,11209,11209,-1,7
359736,05/01/2020,10000,60,Self employed,car,0,34,2,10,8,2,0,3,2,18.1,3036,3036,-1,0
360555,05/01/2020,1000,12,Employed - full time,home improvements,0,85,1,7,6,1,0,6,1,16.14,1793,1793,-1,0
361424,05/01/2020,7000,36,Retired,Personal needs,0,265,45,11,9,0,0,0,2,103.73,15760,12294,-1,0
361439,05/01/2020,6500,48,Employed - full time,Households,0,120,2,3,2,0,0,1,1,80.67,1721,1721,-1,1
363845,05/01/2020,16000,42,Employed - full time,Consolidation,0,251,1,22,11,1,0,2,11,55.82,29752,29752,-1,0
364541,05/01/2020,8000,48,Employed - full time,Vets bills,1,374,8,17,12,1,0,2,5,100.12,195864,7344,-1,0
365286,05/01/2020,10000,60,Employed - full time,Marriage,0,207,2,28,20,4,11,2,8,54.7,6737,6737,-1,7
365946,05/01/2020,10000,36,Employed - full time,Home improvements,1,267,7,24,14,0,0,1,10,88.92,19058,4095,-1,0
366594,05/01/2020,10000,60,Employed - full time,Consolidate other debts,0,127,8,19,13,2,0,4,6,50.79,261191,52869,-1,0
366631,05/01/2020,1500,36,Retired,Child costs,0,283,21,12,10,0,0,0,2,76.08,5802,5802,-1,5
367073,05/01/2020,6500,48,Employed - full time,Emergency,0,64,21,6,6,0,0,0,0,33.83,41559,41559,-1,0
367535,05/01/2020,7000,24,Employed - full time,Household,0,178,8,12,8,1,0,1,4,50.92,141085,17420,-1,0
368151,05/01/2020,15000,48,Employed - full time,work tools,0,290,4,6,5,1,1,2,1,77.5,13752,13752,-1,7
370498,06/01/2020,12000,24,Employed - full time,Consolidation loan,0,139,1,10,7,2,0,6,3,27.9,10944,10944,-1,0
371199,06/01/2020,6500,48,Employed - full time,car and credit card,0,231,1,55,12,16,4,17,43,41.78,19054,19054,-1,7
371322,06/01/2020,14000,60,Employed - full time,Unexpected expense,0,281,2,22,14,3,0,6,8,90.32,20035,20035,-1,0
372666,06/01/2020,6500,48,Employed - part time,dental medical treatment,0,123,1,9,7,0,1,5,2,45.56,554,554,-1,7
372907,06/01/2020,4000,60,Employed - full time,debt consolidation,1,253,1,28,10,2,0,1,18,86.04,75782,4533,-1,0
376118,06/01/2020,15000,48,Employed - full time,Getting things together,0,83,3,15,7,3,0,4,8,35.33,25750,25750,-1,0
377323,06/01/2020,10000,60,Employed - full time,Golf Membership,0,178,2,22,13,1,2,5,9,59.36,10752,10752,-1,0
378089,06/01/2020,10000,36,Employed - full time,help on house purchase,0,297,4,18,13,0,3,2,5,71.89,121296,23224,-1,7
378104,06/01/2020,10000,48,Employed - full time,consolidation,0,211,4,15,10,1,0,3,5,86.6,399239,120378,-1,0
378122,06/01/2020,10000,60,Employed - full time,debt consolidation,0,275,7,21,11,3,1,1,10,85.9,186364,13091,-1,7
378739,06/01/2020,10000,60,Employed - full time,Repairs,0,122,1,22,13,2,0,3,9,35.82,18791,18791,-1,0
380962,06/01/2020,6500,48,Employed - full time,Furniture,0,109,4,4,3,0,0,2,1,36.25,1370,1370,-1,0
381272,06/01/2020,7500,48,Employed - full time,Consolidation,0,148,1,32,15,4,2,6,17,44.06,19141,19141,-1,7
381276,06/01/2020,2000,12,Employed - full time,Personal loan,0,142,2,45,15,3,2,3,30,50.4,3344,3344,-1,7
382198,06/01/2020,1500,48,Employed - full time,food,0,85,1,14,10,2,0,4,4,30.0,93413,25881,-1,0
382965,06/01/2020,20000,60,Employed - full time,Health Reasons,0,254,6,10,8,0,0,1,2,84.6,5139,5139,-1,0
383172,06/01/2020,9500,60,Employed - full time,Home Improvments,0,128,3,16,13,1,0,9,3,32.69,384874,37135,-1,3
383733,06/01/2020,4000,60,Employed - full time,Vet bills,0,61,1,8,7,1,0,3,1,23.5,12541,12541,-1,0
385026,06/01/2020,5000,42,Employed - full time,consolidation of debt,0,111,2,46,17,4,4,4,29,49.7,23613,23613,-1,7
385478,06/01/2020,10000,60,Employed - full time,Car,0,245,4,12,11,1,0,4,1,39.25,155719,3590,-1,1
387301,06/01/2020,15000,60,Employed - full time,Overdraft,0,61,3,16,14,0,0,3,2,25.56,26329,26329,-1,0
387346,06/01/2020,10000,48,Employed - full time,Caravan,0,91,4,14,14,0,0,3,0,31.57,18803,18803,-1,0
387485,06/01/2020,15000,60,Employed - full time,Furniture,0,254,1,59,10,12,0,8,49,27.66,10283,10283,-1,0
389383,06/01/2020,3000,42,Self employed,University equipment,0,165,3,24,10,6,0,1,14,50.5,352089,18475,-1,0
391896,06/01/2020,10000,60,Self employed,Bike purchase,0,233,6,7,6,1,0,3,1,66.0,9629,9629,-1,0
398019,06/01/2020,2000,24,Employed - full time,Debt consolidation,0,133,1,29,19,4,0,5,10,51.52,20627,20627,-1,0
398122,06/01/2020,6000,60,Self employed,Tax Repayment,0,91,3,23,13,4,0,6,10,31.91,19205,19205,-1,0
399081,06/01/2020,1000,36,Employed - full time,moving,0,237,10,6,5,0,0,1,1,94.17,2797,2797,-1,0
399559,06/01/2020,2000,48,Employed - full time,vet bills,0,201,2,11,9,0,0,2,2,55.36,16334,16334,-1,1
399645,06/01/2020,6500,48,Employed - full time,Vet n bills,0,95,21,11,5,1,1,0,6,67.09,3132,3132,-1,0
401313,06/01/2020,10000,36,Employed - full time,Dental treatment,0,291,14,9,8,0,0,0,1,99.22,50952,10560,-1,0
401432,06/01/2020,3000,60,Employed - full time,Car,0,89,3,43,38,3,16,22,5,25.65,9483,9483,-1,7
402001,06/01/2020,6000,24,Employed - part time,Caravan,1,287,22,16,6,1,0,0,10,97.25,133327,196,-1,0
402868,06/01/2020,20000,36,Employed - full time,Short term loan,0,143,3,31,15,0,0,4,16,57.68,136424,22861,-1,0
403232,06/01/2020,18000,60,Employed - part time,car and consolidation,0,363,24,13,6,0,0,0,7,118.15,77275,13400,-1,0
406560,06/01/2020,500,12,Employed - full time,Vet,0,104,26,9,4,0,3,0,5,46.11,6779,6779,-1,7
407785,06/01/2020,1000,24,Employed - full time,"Car, holidays, repayment",0,41,3,6,5,0,1,3,1,16.33,509,509,-1,7
408333,06/01/2020,6000,60,Employed - full time,Home improvement,0,192,1,21,8,3,3,4,13,74.62,107501,6157,-1,0
411248,06/01/2020,2000,12,Employed - part time,car,1,232,6,15,9,0,0,3,6,69.67,1645,1645,-1,1
412057,06/01/2020,15500,60,Employed - full time,vets bill,0,210,8,19,11,1,0,2,8,53.26,136812,16445,-1,0
412451,06/01/2020,500,12,Employed - full time,Breast enlargement and re finance,0,273,5,6,4,0,2,1,2,98.33,11048,11048,-1,7
413147,07/01/2020,500,12,Employed - full time,Medical treatment for my mum,0,52,2,7,6,0,0,5,1,14.57,2431,2431,-1,0
413981,07/01/2020,15000,60,Employed - full time,holiday spending money,0,39,3,5,5,0,0,1,0,20.0,2455,2455,-1,0
414203,07/01/2020,20000,60,Employed - full time,debt consolidation,0,290,4,26,12,3,0,3,14,88.96,296950,38577,-1,0
414730,07/01/2020,10000,60,Employed - full time,Debt consolidation,1,221,7,27,18,1,0,1,9,73.56,201006,23167,-1,0
417707,07/01/2020,12000,60,Retired,Debt Consolidation,0,281,3,18,10,1,0,2,8,79.06,14469,14469,-1,0
417859,07/01/2020,20000,60,Employed - full time,car repairs,0,98,9,11,6,0,0,4,5,38.27,252664,5057,-1,0
420282,07/01/2020,14000,60,Employed - full time,home improvement,0,146,1,24,9,2,0,1,15,59.12,37652,37652,-1,0
422409,07/01/2020,3000,36,Employed - full time,clothes,0,126,7,29,19,1,11,2,10,58.68,15075,15075,-1,7
423582,07/01/2020,6000,24,Employed - full time,Debt Consolidation,0,62,1,14,8,2,2,3,6,32.43,4437,4437,-1,7
426001,07/01/2020,20000,54,Self employed,Home Improvments,0,195,3,16,12,0,0,1,4,91.81,289707,13761,-1,0
426356,07/01/2020,500,12,Employed - part time,investment,0,223,2,32,21,7,8,13,11,38.03,6675,6675,-1,7
426945,07/01/2020,2000,12,Employed - full time,Mortgage,0,47,2,21,17,2,0,10,4,15.24,20632,20632,-1,0
427215,07/01/2020,4000,36,Employed - full time,sofa,0,122,2,12,11,1,0,6,1,19.33,7364,7364,-1,0
427443,07/01/2020,2000,24,Employed - full time,pay off another loan,0,68,15,12,10,0,9,0,2,43.42,22155,22155,-1,7
430143,07/01/2020,7500,48,Employed - full time,Home improvement,0,249,8,35,18,2,0,1,17,75.6,248359,75327,-1,0
433876,07/01/2020,3500,36,Employed - full time,Holiday,0,37,6,2,2,0,0,1,0,21.5,0,0,-1,0
434956,07/01/2020,1000,24,Self employed,Bitcoin generators,0,49,5,3,3,0,0,2,0,21.33,778,778,-1,0
436476,07/01/2020,12000,12,Employed - full time,Home improvement,0,314,7,25,16,0,5,1,9,106.88,516485,20079,-1,7
437385,07/01/2020,5000,24,Employed - full time,Debt consolidation,0,123,2,23,13,2,0,8,10,42.91,21651,21651,-1,0
438688,07/01/2020,5000,60,Employed - full time,Credit cards,0,282,26,4,4,0,0,0,0,156.0,279224,25943,-1,1
438916,07/01/2020,2000,36,Employed - full time,Kids birthday,0,104,10,11,10,0,6,1,1,58.82,1773,1773,-1,7
